Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Voulu,Theta4_Voulu,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur
2026-03-16 10:12:18,101218,0.0,0.4,141.77,50.8,0.04,0.4052,135.0,45.0
2026-03-16 10:12:18,101218,0.005000000000000001,0.4,141.05,49.96,0.0324,0.4009,136.8,45.6
2026-03-16 10:12:18,101218,0.010000000000000002,0.4,140.31,49.12,0.0148,0.4065,138.6,49.2
2026-03-16 10:12:18,101218,0.015,0.4,139.57,48.29,0.0133,0.4002,139.8,48.6
2026-03-16 10:12:18,101218,0.020000000000000004,0.4,138.83,47.47,0.0133,0.4002,139.8,48.6
2026-03-16 10:12:18,101218,0.025,0.4,138.07,46.66,0.0191,0.3984,139.2,47.4
2026-03-16 10:12:19,101218,0.03,0.4,137.3,45.85,0.0247,0.4007,138.0,46.8
2026-03-16 10:12:19,101218,0.034999999999999996,0.4,136.53,45.05,0.0247,0.4007,138.0,46.8
2026-03-16 10:12:19,101218,0.04000000000000001,0.4,135.74,44.26,0.0324,0.4009,136.8,45.6
2026-03-16 10:12:19,101218,0.045000000000000005,0.4,134.95,43.47,0.0362,0.401,136.2,45.0
2026-03-16 10:12:19,101218,0.05,0.4,134.15,42.7,0.04,0.401,135.6,44.4
2026-03-16 10:12:19,101218,0.05500000000000001,0.4,133.34,41.93,0.0457,0.3989,135.0,43.2
2026-03-16 10:12:19,101218,0.06,0.4,132.53,41.17,0.0476,0.4009,134.4,43.2
2026-03-16 10:12:19,101218,0.065,0.4,131.71,40.43,0.0533,0.3987,133.8,42.0
2026-03-16 10:12:19,101218,0.06999999999999999,0.4,130.88,39.69,0.0591,0.4006,132.6,41.4
2026-03-16 10:12:19,101218,0.07500000000000001,0.4,130.04,38.95,0.0649,0.4024,131.4,40.8
2026-03-16 10:12:19,101218,0.08000000000000002,0.4,129.2,38.23,0.0705,0.3999,130.8,39.6
2026-03-16 10:12:20,101218,0.085,0.4,128.36,37.52,0.0743,0.3997,130.2,39.0
2026-03-16 10:12:20,101218,0.09000000000000001,0.4,127.5,36.82,0.0781,0.3994,129.6,38.4
2026-03-16 10:12:20,101218,0.095,0.4,126.64,36.13,0.0841,0.4009,128.4,37.8
2026-03-16 10:12:20,101218,0.1,0.4,125.78,35.45,0.09,0.4024,127.2,37.2
2026-03-16 10:12:20,101218,0.1,0.395,126.38,34.63,0.0955,0.3996,126.6,36.0
2026-03-16 10:12:20,101218,0.1,0.39,126.97,33.82,0.0971,0.3973,126.6,35.4
2026-03-16 10:12:20,101218,0.1,0.385,127.56,33.0,0.0987,0.395,126.6,34.8
2026-03-16 10:12:20,101218,0.1,0.38,128.13,32.2,0.1003,0.3927,126.6,34.2
2026-03-16 10:12:20,101218,0.1,0.375,128.69,31.39,0.1019,0.3903,126.6,33.6
2026-03-16 10:12:20,101218,0.1,0.37,129.24,30.59,0.1013,0.3861,127.2,33.0
2026-03-16 10:12:20,101218,0.1,0.365,129.79,29.79,0.1028,0.3837,127.2,32.4
2026-03-16 10:12:21,101218,0.1,0.36,130.32,28.99,0.1022,0.3794,127.8,31.8
2026-03-16 10:12:21,101218,0.1,0.355,130.85,28.2,0.1015,0.3751,128.4,31.2
2026-03-16 10:12:21,101218,0.1,0.35,131.36,27.4,0.1002,0.3665,129.6,30.0
2026-03-16 10:12:21,101218,0.1,0.345,131.87,26.61,0.1016,0.364,129.6,29.4
2026-03-16 10:12:21,101218,0.1,0.34,132.36,25.82,0.1009,0.3596,130.2,28.8
2026-03-16 10:12:21,101218,0.1,0.33499999999999996,132.85,25.02,0.1002,0.3552,130.8,28.2
2026-03-16 10:12:21,101218,0.1,0.33,133.33,24.23,0.1028,0.3502,130.8,27.0
2026-03-16 10:12:21,101218,0.1,0.325,133.8,23.43,0.1,0.3437,132.0,26.4
2026-03-16 10:12:21,101218,0.1,0.32,134.26,22.64,0.1013,0.3412,132.0,25.8
2026-03-16 10:12:21,101218,0.1,0.315,134.71,21.84,0.1005,0.3366,132.6,25.2
2026-03-16 10:12:22,101218,0.1,0.31,135.15,21.04,0.1029,0.3315,132.6,24.0
2026-03-16 10:12:22,101218,0.1,0.305,135.58,20.24,0.1032,0.3244,133.2,22.8
2026-03-16 10:12:22,101218,0.1,0.3,136.01,19.43,0.1012,0.3223,133.8,22.8
2026-03-16 10:12:22,101218,0.09,0.3,138.19,21.26,0.1014,0.3151,134.4,21.6
2026-03-16 10:12:22,101218,0.08,0.3,140.36,23.14,0.0975,0.3108,135.6,21.6
2026-03-16 10:12:22,101218,0.07,0.3,142.52,25.08,0.0907,0.3069,137.4,22.2
2026-03-16 10:12:22,101218,0.06,0.3,144.66,27.06,0.0788,0.3083,139.8,24.6
2026-03-16 10:12:22,101218,0.05,0.3,146.78,29.08,0.0677,0.302,142.8,25.8
2026-03-16 10:12:22,101218,0.04000000000000001,0.3,148.86,31.14,0.0606,0.3049,144.0,27.6
2026-03-16 10:12:22,101218,0.030000000000000013,0.3,150.92,33.22,0.0518,0.3052,145.8,29.4
2026-03-16 10:12:22,101218,0.01999999999999999,0.3,152.94,35.34,0.0429,0.3054,147.6,31.2
2026-03-16 10:12:23,101218,0.009999999999999995,0.3,154.92,37.48,0.0296,0.3077,150.0,34.2
2026-03-16 10:12:23,101218,0.0,0.3,156.86,39.64,0.0148,0.307,153.0,37.2
2026-03-16 10:12:23,101218,-0.010000000000000009,0.3,158.74,41.81,0.0106,0.3043,154.2,37.8
2026-03-16 10:12:23,101218,-0.01999999999999999,0.3,160.57,43.99,0.0018,0.3035,156.0,39.6
2026-03-16 10:12:23,101218,-0.03,0.3,162.34,46.19,-0.007,0.3025,157.8,41.4
2026-03-16 10:12:23,101218,-0.03999999999999998,0.3,164.05,48.38,-0.0177,0.3035,159.6,43.8
2026-03-16 10:12:23,101218,-0.05000000000000002,0.3,165.7,50.58,-0.0315,0.3036,162.0,46.8
2026-03-16 10:12:23,101218,-0.060000000000000026,0.3,167.28,52.78,-0.0395,0.3045,163.2,48.6
2026-03-16 10:12:23,101218,-0.07,0.3,168.79,54.98,-0.0454,0.3032,164.4,49.8
2026-03-16 10:12:23,101218,-0.08000000000000002,0.3,170.23,57.17,-0.0565,0.303,166.2,52.2
2026-03-16 10:12:23,101218,-0.09,0.3,171.59,59.35,-0.0647,0.3032,167.4,54.0
2026-03-16 10:12:24,101218,-0.1,0.3,172.88,61.53,-0.0812,0.3031,169.8,57.6
2026-03-16 10:12:24,101218,-0.1,0.305,171.89,61.76,-0.089,0.3054,170.4,59.4
2026-03-16 10:12:24,101218,-0.1,0.31,170.91,62.0,-0.0896,0.3028,171.0,59.4
2026-03-16 10:12:24,101218,-0.1,0.315,169.93,62.26,-0.089,0.3054,170.4,59.4
2026-03-16 10:12:24,101218,-0.1,0.32,168.97,62.53,-0.09,0.3124,169.2,60.0
2026-03-16 10:12:24,101218,-0.1,0.325,168.0,62.81,-0.0886,0.3177,168.0,60.0
2026-03-16 10:12:24,101218,-0.1,0.33,167.05,63.11,-0.0903,0.322,167.4,60.6
